symbol,timestamp,interval,open,high,low,close,volume
AAPL,2025-11-03T11:59:35.600212,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:59:35.600220,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:59:35.600554,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:59:35.601796,tick,270.8,270.8,270.8,270.8,1.0
AAPL,2025-11-03T11:59:35.601801,tick,270.8,270.8,270.8,270.8,1.0
AAPL,2025-11-03T11:59:35.601811,tick,270.8,270.8,270.8,270.8,20.0
AAPL,2025-11-03T11:59:35.603507,tick,270.81,270.81,270.81,270.81,3.0
AAPL,2025-11-03T11:59:35.604751,tick,270.82,270.82,270.82,270.82,5.0
AAPL,2025-11-03T11:59:35.606024,tick,270.84,270.84,270.84,270.84,3.0
AAPL,2025-11-03T11:59:35.606029,tick,270.84,270.84,270.84,270.84,1.0
AAPL,2025-11-03T11:59:35.606037,tick,270.84,270.84,270.84,270.84,2.0
AAPL,2025-11-03T11:59:35.606361,tick,270.84,270.84,270.84,270.84,6.0
AAPL,2025-11-03T11:59:38.880451,tick,270.79,270.79,270.79,270.79,4.0
AAPL,2025-11-03T11:59:51.195875,tick,270.79,270.79,270.79,270.79,7.0
AAPL,2025-11-03T11:59:51.195908,tick,270.79,270.79,270.79,270.79,2.0
AAPL,2025-11-03T11:59:51.584138,tick,270.79,270.79,270.79,270.79,11.0
AAPL,2025-11-03T11:59:59.617727,tick,270.79,270.79,270.79,270.79,1.0
AAPL,2025-11-03T11:59:59.708382,tick,270.85,270.85,270.85,270.85,1.0
AAPL,2025-11-03T12:00:00.037178,tick,270.87,270.87,270.87,270.87,5.0
AAPL,2025-11-03T12:00:00.067647,tick,270.82,270.82,270.82,270.82,1.0
AAPL,2025-11-03T12:00:00.080856,tick,270.77,270.77,270.77,270.77,5.0
AAPL,2025-11-03T12:00:00.096309,tick,270.77,270.77,270.77,270.77,20.0
AAPL,2025-11-03T12:00:00.098461,tick,270.77,270.77,270.77,270.77,8.0
AAPL,2025-11-03T12:00:00.099954,tick,270.77,270.77,270.77,270.77,7.0
AAPL,2025-11-03T12:00:00.099966,tick,270.76,270.76,270.76,270.76,3.0
AAPL,2025-11-03T12:00:00.103750,tick,270.76,270.76,270.76,270.76,4.0
AAPL,2025-11-03T12:00:00.104660,tick,270.76,270.76,270.76,270.76,43.0
AAPL,2025-11-03T12:00:00.104665,tick,270.75,270.75,270.75,270.75,50.0
AAPL,2025-11-03T12:00:00.104677,tick,270.75,270.75,270.75,270.75,19.0
AAPL,2025-11-03T12:00:00.110465,tick,270.75,270.75,270.75,270.75,4.0
AAPL,2025-11-03T12:00:00.110560,tick,270.75,270.75,270.75,270.75,3.0
AAPL,2025-11-03T12:00:00.111212,tick,270.82,270.82,270.82,270.82,3.0
AAPL,2025-11-03T12:00:00.111233,tick,270.87,270.87,270.87,270.87,5.0
AAPL,2025-11-03T12:00:00.111474,tick,270.75,270.75,270.75,270.75,24.0
AAPL,2025-11-03T12:00:00.111477,tick,270.74,270.74,270.74,270.74,11.0
AAPL,2025-11-03T12:00:00.111900,tick,270.74,270.74,270.74,270.74,19.0
AAPL,2025-11-03T12:00:00.112660,tick,270.74,270.74,270.74,270.74,10.0
AAPL,2025-11-03T12:00:00.125009,tick,270.85,270.85,270.85,270.85,4.0
AAPL,2025-11-03T12:00:00.125014,tick,270.87,270.87,270.87,270.87,7.0
AAPL,2025-11-03T12:00:00.125056,tick,270.74,270.74,270.74,270.74,10.0
AAPL,2025-11-03T12:00:00.125140,tick,270.74,270.74,270.74,270.74,100.0
AAPL,2025-11-03T12:00:00.125146,tick,270.71,270.71,270.71,270.71,1.0
AAPL,2025-11-03T12:00:00.125149,tick,270.71,270.71,270.71,270.71,1.0
AAPL,2025-11-03T12:00:00.125155,tick,270.65,270.65,270.65,270.65,3.0
AAPL,2025-11-03T12:00:00.125160,tick,270.65,270.65,270.65,270.65,250.0
AAPL,2025-11-03T12:00:00.125163,tick,270.63,270.63,270.63,270.63,2.0
AAPL,2025-11-03T12:00:00.125167,tick,270.63,270.63,270.63,270.63,20.0
AAPL,2025-11-03T12:00:00.125171,tick,270.62,270.62,270.62,270.62,1.0
AAPL,2025-11-03T12:00:00.125175,tick,270.62,270.62,270.62,270.62,6.0
AAPL,2025-11-03T12:00:00.125179,tick,270.61,270.61,270.61,270.61,4.0
AAPL,2025-11-03T12:00:00.125182,tick,270.61,270.61,270.61,270.61,1.0
AAPL,2025-11-03T12:00:00.125187,tick,270.61,270.61,270.61,270.61,15.0
AAPL,2025-11-03T12:00:00.125459,tick,270.75,270.75,270.75,270.75,4.0
AAPL,2025-11-03T12:00:00.126632,tick,270.82,270.82,270.82,270.82,1.0
AAPL,2025-11-03T12:00:00.127407,tick,270.85,270.85,270.85,270.85,50.0
AAPL,2025-11-03T12:00:00.127780,tick,270.85,270.85,270.85,270.85,1.0
AAPL,2025-11-03T12:00:00.127793,tick,270.87,270.87,270.87,270.87,1.0
